Key = key-673146, ValueA = , ValueB = value-8621165726093895168, Score = 1
Key = key-784915, ValueA = , ValueB = value-2498988110314014834, Score = 1
Key = key-182594, ValueA = , ValueB = value-8040346934232110004, Score = 1
Key = key-481117, ValueA = , ValueB = value-5357393635953586764, Score = 1
Key = key-46290, ValueA = , ValueB = value-2083436531347720498, Score = 1
Key = key-937319, ValueA = , ValueB = value-2472741309293342304, Score = 1
Key = key-432150, ValueA = , ValueB = value-4253492768391881674, Score = 1
Key = key-541309, ValueA = , ValueB = value-943951308677788112, Score = 1
Key = key-71270, ValueA = , ValueB = value-7671865887701997748, Score = 1
Key = key-408491, ValueA = , ValueB = value-2095913639439657797, Score = 1
Key = key-324383, ValueA = , ValueB = value-6005883988027854154, Score = 1
Key = key-805484, ValueA = , ValueB = value-6059279765073727415, Score = 1
Key = key-830547, ValueA = , ValueB = value-922970202212900164, Score = 1
Key = key-46369, ValueA = , ValueB = value-2076474300243710920, Score = 1
Key = key-456098, ValueA = , ValueB = value-1296689723214059572, Score = 1
Key = key-158825, ValueA = , ValueB = value-3054928462105987740, Score = 1
Key = key-590375, ValueA = , ValueB = value-4541950191226577602, Score = 1
Key = key-877157, ValueA = , ValueB = value-6749294511036676526, Score = 1
Key = key-183848, ValueA = , ValueB = value-7471516917069213249, Score = 1
Key = key-144221, ValueA = , ValueB = value-5457794229516709303, Score = 1
Key = key-805537, ValueA = , ValueB = value-7616158870596017359, Score = 1
Key = key-902769, ValueA = , ValueB = value-3989889885774894406, Score = 1
Key = key-580909, ValueA = , ValueB = value-512253657773795931, Score = 1
Key = key-687711, ValueA = , ValueB = value-5287903056932054423, Score = 1
Key = key-71195, ValueA = , ValueB = value-5844313088252825194, Score = 1
Key = key-252018, ValueA = , ValueB = value-2060654695649621193, Score = 1
Key = key-770486, ValueA = , ValueB = value-4880541159131468181, Score = 1
Key = key-231889, ValueA = , ValueB = value-6550503820697918519, Score = 1
Key = key-590144, ValueA = , ValueB = value-5333740253091173421, Score = 1
Key = key-652937, ValueA = , ValueB = value-408220060856552304, Score = 1
Key = key-648090, ValueA = , ValueB = value-7764737219458129644, Score = 1
Key = key-590190, ValueA = , ValueB = value-3227304834762922215, Score = 1
Key = key-46200, ValueA = , ValueB = value-1381297569250045587, Score = 1
Key = key-384052, ValueA = , ValueB = value-8300847116560246166, Score = 1
Key = key-46210, ValueA = , ValueB = value-8707581520531394186, Score = 1
Key = key-71208, ValueA = , ValueB = value-1118647066493100525, Score = 1
Key = key-673067, ValueA = , ValueB = value-161626458977284470, Score = 1
Key = key-46269, ValueA = , ValueB = value-1520601730967759339, Score = 1
Key = key-5702, ValueA = , ValueB = value-6463054961497363542, Score = 1
Key = key-183724, ValueA = , ValueB = value-4819679396437188285, Score = 1
Key = key-627839, ValueA = , ValueB = value-561799741965318969, Score = 1
Key = key-109849, ValueA = , ValueB = value-1674316589699564964, Score = 1
Key = key-516265, ValueA = , ValueB = value-9167441954788896077, Score = 1
Key = key-541221, ValueA = , ValueB = value-209686440673227626, Score = 1
Key = key-192037, ValueA = , ValueB = value-5106752182395249749, Score = 1
Key = key-5841, ValueA = , ValueB = value-6306137889483368261, Score = 1
Key = key-192010, ValueA = , ValueB = value-283426699490849637, Score = 1
Key = key-721386, ValueA = , ValueB = value-741869324433349186, Score = 1
Key = key-867819, ValueA = , ValueB = value-4828735397956077108, Score = 1
Key = key-59647, ValueA = , ValueB = value-7946448944852865230, Score = 1
Key = key-867721, ValueA = , ValueB = value-3380566364770217227, Score = 1
Key = key-867721, ValueA = , ValueB = value-2202709894736336138, Score = 1
Key = key-69118, ValueA = , ValueB = value-6557233399188330718, Score = 1
Key = key-892711, ValueA = , ValueB = value-3631190290529170162, Score = 1
Key = key-627720, ValueA = , ValueB = value-6524713204329354443, Score = 1
Key = key-579866, ValueA = , ValueB = value-6230326091215202714, Score = 1
Key = key-722829, ValueA = , ValueB = value-6803221777751853452, Score = 1
Key = key-986523, ValueA = , ValueB = value-7244380632810611195, Score = 1
Key = key-652669, ValueA = , ValueB = value-1589638611330379543, Score = 1
Key = key-472824, ValueA = , ValueB = value-1104608432877919790, Score = 1
Key = key-363406, ValueA = , ValueB = value-5900996836124171315, Score = 1
Key = key-877604, ValueA = , ValueB = value-2308954249577733895, Score = 1
Key = key-770770, ValueA = , ValueB = value-8084533799191850924, Score = 1
Key = key-838029, ValueA = , ValueB = value-4391901054309348439, Score = 1
Key = key-877528, ValueA = , ValueB = value-5008412032727880939, Score = 1
Key = key-446899, ValueA = , ValueB = value-662784511848584482, Score = 1
Key = key-289509, ValueA = , ValueB = value-7098404870052561354, Score = 1
Key = key-94418, ValueA = , ValueB = value-561897968467985582, Score = 1
Key = key-721479, ValueA = , ValueB = value-5430968628770217792, Score = 1
Key = key-721479, ValueA = , ValueB = value-7077528320893403141, Score = 1
Key = key-495254, ValueA = , ValueB = value-9017300102222063780, Score = 1
Key = key-471888, ValueA = , ValueB = value-5777266925458051062, Score = 1
Key = key-541291, ValueA = , ValueB = value-7486387647095819854, Score = 1
Key = key-627654, ValueA = , ValueB = value-966520261487419491, Score = 1
Key = key-5482, ValueA = , ValueB = value-8653057575843775043, Score = 1
Key = key-937503, ValueA = , ValueB = value-1962258321441693022, Score = 1
Key = key-580796, ValueA = , ValueB = value-8182981518295765411, Score = 1
Key = key-580792, ValueA = , ValueB = value-1792330774392713027, Score = 1
Key = key-289567, ValueA = , ValueB = value-1283135051879709113, Score = 1
Key = key-407255, ValueA = , ValueB = value-4163719601825200258, Score = 1
Key = key-206545, ValueA = , ValueB = value-846459870577226856, Score = 1
Key = key-206546, ValueA = , ValueB = value-394187186738045080, Score = 1
Key = key-590132, ValueA = , ValueB = value-4930875298133950091, Score = 1
Key = key-144473, ValueA = , ValueB = value-5228188531632923651, Score = 1
Key = key-722946, ValueA = , ValueB = value-783067933859955312, Score = 1
Key = key-687424, ValueA = , ValueB = value-2411388570983265965, Score = 1
Key = key-947001, ValueA = , ValueB = value-4806251622952889988, Score = 1
Key = key-830872, ValueA = , ValueB = value-1098632460191086096, Score = 1
Key = key-580623, ValueA = , ValueB = value-6189897707001340616, Score = 1
Key = key-580623, ValueA = , ValueB = value-9135839633652967710, Score = 1
Key = key-119376, ValueA = , ValueB = value-1811249092211919449, Score = 1
Key = key-300410, ValueA = , ValueB = value-3996977356044497585, Score = 1
Key = key-84829, ValueA = , ValueB = value-9042221889908959259, Score = 1
Key = key-300150, ValueA = , ValueB = value-6185687325939128239, Score = 1
Key = key-578459, ValueA = , ValueB = value-8329022643669010468, Score = 1
Key = key-578482, ValueA = , ValueB = value-4636087029997563452, Score = 1
Key = key-157781, ValueA = , ValueB = value-4975098495619645519, Score = 1
Key = key-985135, ValueA = , ValueB = value-8070749852312803623, Score = 1
Key = key-70038, ValueA = , ValueB = value-4089999949219817644, Score = 1
Key = key-289306, ValueA = , ValueB = value-2010332061761115778, Score = 1
Key = key-289352, ValueA = , ValueB = value-3848225022350614601, Score = 1
Key = key-70099, ValueA = , ValueB = value-5217948094653646342, Score = 1
Key = key-829910, ValueA = , ValueB = value-4832074397850083069, Score = 1
Key = key-828477, ValueA = , ValueB = value-7919646597637157351, Score = 1
Key = key-45127, ValueA = , ValueB = value-6094998878582622173, Score = 1
Key = key-472563, ValueA = , ValueB = value-2602366472798445033, Score = 1
Key = key-71727, ValueA = , ValueB = value-254461084170360218, Score = 1
Key = key-315819, ValueA = , ValueB = value-2862454691509621525, Score = 1
Key = key-408188, ValueA = , ValueB = value-2385210304336811431, Score = 1
Key = key-828664, ValueA = , ValueB = value-5159889764089815615, Score = 1
Key = key-579461, ValueA = , ValueB = value-1905280035699925193, Score = 1
Key = key-314482, ValueA = , ValueB = value-6792604614798988419, Score = 1
Key = key-182163, ValueA = , ValueB = value-2015219803281776210, Score = 1
Key = key-853556, ValueA = , ValueB = value-6027222523350455774, Score = 1
Key = key-472670, ValueA = , ValueB = value-2223201296126456520, Score = 1
Key = key-853579, ValueA = , ValueB = value-3874030748047848310, Score = 1
Key = key-840506, ValueA = , ValueB = value-3781402150755835964, Score = 1
Key = key-721889, ValueA = , ValueB = value-5323731357629622924, Score = 1
Key = key-32350, ValueA = , ValueB = value-1033985812112717396, Score = 1
Key = key-446419, ValueA = , ValueB = value-4177833729777855029, Score = 1
Key = key-301014, ValueA = , ValueB = value-9090671136376390556, Score = 1
Key = key-472320, ValueA = , ValueB = value-4393410343523277338, Score = 1
Key = key-46971, ValueA = , ValueB = value-891212810787639969, Score = 1
Key = key-985385, ValueA = , ValueB = value-3429253763466977264, Score = 1
Key = key-972287, ValueA = , ValueB = value-5493429400208847387, Score = 1
Key = key-182003, ValueA = , ValueB = value-4038055097530890874, Score = 1
Key = key-157071, ValueA = , ValueB = value-9012868018513126145, Score = 1
Key = key-578036, ValueA = , ValueB = value-4589977021677725876, Score = 1
Key = key-182096, ValueA = , ValueB = value-5940881874838038267, Score = 1
Key = key-340643, ValueA = , ValueB = value-7091962500949217967, Score = 1
Key = key-32253, ValueA = , ValueB = value-8586564221978746379, Score = 1
Key = key-801061, ValueA = , ValueB = value-9008534851244328377, Score = 1
Key = key-71836, ValueA = , ValueB = value-8216787773297331481, Score = 1
Key = key-109411, ValueA = , ValueB = value-4829108691741402071, Score = 1
Key = key-266280, ValueA = , ValueB = value-4071023962492842882, Score = 1
Key = key-893204, ValueA = , ValueB = value-2710815005799090453, Score = 1
Key = key-551520, ValueA = , ValueB = value-6772183244267061496, Score = 1
Key = key-32503, ValueA = , ValueB = value-2244392763395856828, Score = 1
Key = key-937857, ValueA = , ValueB = value-8383828283208126599, Score = 1
Key = key-937828, ValueA = , ValueB = value-6299479491050707320, Score = 1
Key = key-173906, ValueA = , ValueB = value-7707708521950491249, Score = 1
Key = key-423438, ValueA = , ValueB = value-323369355273030455, Score = 1
Key = key-937971, ValueA = , ValueB = value-8167739648571781853, Score = 1
Key = key-683209, ValueA = , ValueB = value-6722378438899674448, Score = 1
Key = key-291102, ValueA = , ValueB = value-162123935502016814, Score = 1
Key = key-565947, ValueA = , ValueB = value-6339225188036044375, Score = 1
Key = key-130707, ValueA = , ValueB = value-9120322190962744172, Score = 1
Key = key-109586, ValueA = , ValueB = value-8405401177767346155, Score = 1
Key = key-109586, ValueA = , ValueB = value-4006474282594582743, Score = 1
Key = key-722073, ValueA = , ValueB = value-6500632030189797153, Score = 1
Key = key-22862, ValueA = , ValueB = value-7687863803398236097, Score = 1
Key = key-761676, ValueA = , ValueB = value-6617902702050917920, Score = 1
Key = key-658135, ValueA = , ValueB = value-9080491737843199171, Score = 1
Key = key-590993, ValueA = , ValueB = value-1051757102582572638, Score = 1
Key = key-262464, ValueA = , ValueB = value-1023841961739476568, Score = 1
Key = key-520735, ValueA = , ValueB = value-8861896990458718700, Score = 1
Key = key-520735, ValueA = , ValueB = value-3928514249498139516, Score = 1
Key = key-94221, ValueA = , ValueB = value-5185246002370097574, Score = 1
Key = key-565817, ValueA = , ValueB = value-448705095111093849, Score = 1
Key = key-838132, ValueA = , ValueB = value-8494021629992014293, Score = 1
Key = key-237498, ValueA = , ValueB = value-5131466059808121343, Score = 1
Key = key-697663, ValueA = , ValueB = value-8181485293775133312, Score = 1
Key = key-838074, ValueA = , ValueB = value-7179041230815703394, Score = 1
Key = key-94339, ValueA = , ValueB = value-66019292949122600, Score = 1
Key = key-252992, ValueA = , ValueB = value-6997335797793153891, Score = 1
Key = key-495380, ValueA = , ValueB = value-7106744614877168194, Score = 1
Key = key-520748, ValueA = , ValueB = value-6206450925829339390, Score = 1
Key = key-227983, ValueA = , ValueB = value-7649027073668069618, Score = 1
Key = key-394054, ValueA = , ValueB = value-1567925782024397031, Score = 1
Key = key-976077, ValueA = , ValueB = value-3032896687841283242, Score = 1
Key = key-227952, ValueA = , ValueB = value-7195720467819070721, Score = 1
Key = key-722187, ValueA = , ValueB = value-829667530572752661, Score = 1
Key = key-384837, ValueA = , ValueB = value-4480884047426134740, Score = 1
Key = key-697566, ValueA = , ValueB = value-5821054307596477643, Score = 1
