Key = key-370, Value = value-8611003614900965347, Score = 2
Key = key-18, ValueA = , ValueB = value-4403300274605545813, Score = 1
Key = key-18, ValueA = , ValueB = value-2133540092928245134, Score = 1
Key = key-18, ValueA = , ValueB = value-6200190259319897317, Score = 1
Key = key-18, ValueA = , ValueB = value-5459070930886429773, Score = 1
Key = key-18, ValueA = , ValueB = value-3494970858629672836, Score = 1
Key = key-18, ValueA = , ValueB = value-2992139607703100220, Score = 1
Key = key-18, ValueA = , ValueB = value-5518734772019895386, Score = 1
Key = key-18, Value = value-4403300274605545813, Score = 2
Key = key-17, ValueA = , ValueB = value-8236483062196180231, Score = 1
Key = key-17, ValueA = , ValueB = value-8328877039275206400, Score = 1
Key = key-17, ValueA = , ValueB = value-958071597076560763, Score = 1
Key = key-17, ValueA = , ValueB = value-7795548299241453334, Score = 1
Key = key-121, Value = value-4958365983736744026, Score = 2
Key = key-17, ValueA = , ValueB = value-5721929633135061400, Score = 1
Key = key-17, ValueA = , ValueB = value-7112497846566147694, Score = 1
Key = key-19, ValueA = , ValueB = value-5163805570778336558, Score = 1
Key = key-19, ValueA = , ValueB = value-4501082794475919372, Score = 1
Key = key-19, ValueA = , ValueB = value-5795415014915959963, Score = 1
Key = key-363, ValueA = , ValueB = value-6329188223668672748, Score = 1
Key = key-363, ValueA = , ValueB = value-5914265998190892651, Score = 1
Key = key-363, ValueA = , ValueB = value-5811867344126325194, Score = 1
Key = key-363, ValueA = , ValueB = value-3186107280167503578, Score = 1
Key = key-363, ValueA = , ValueB = value-5487073522828786599, Score = 1
Key = key-363, ValueA = , ValueB = value-234483621088902993, Score = 1
Key = key-363, ValueA = , ValueB = value-3970898948809375389, Score = 1
Key = key-363, ValueA = , ValueB = value-2747938868329985662, Score = 1
Key = key-363, ValueA = , ValueB = value-7467539693709972694, Score = 1
Key = key-363, ValueA = , ValueB = value-1761362583200103085, Score = 1
Key = key-363, Value = value-6329188223668672748, Score = 2
Key = key-13, ValueA = , ValueB = value-36778705313845225, Score = 1
Key = key-13, ValueA = , ValueB = value-870329430704752786, Score = 1
Key = key-13, ValueA = , ValueB = value-8992015783014009673, Score = 1
Key = key-13, ValueA = , ValueB = value-5654495805422747134, Score = 1
Key = key-13, ValueA = , ValueB = value-4903061862791922840, Score = 1
Key = key-122, Value = value-5380135481958949787, Score = 2
Key = key-16, ValueA = , ValueB = value-2510026793655496075, Score = 1
Key = key-16, ValueA = , ValueB = value-229735315308649104, Score = 1
Key = key-16, ValueA = , ValueB = value-2447138293773346178, Score = 1
Key = key-16, ValueA = , ValueB = value-1584965136400477684, Score = 1
Key = key-16, ValueA = , ValueB = value-2307030571855933253, Score = 1
Key = key-16, ValueA = , ValueB = value-2324870649838099930, Score = 1
Key = key-16, ValueA = , ValueB = value-8695809705104432365, Score = 1
Key = key-16, ValueA = , ValueB = value-6840676098267655033, Score = 1
Key = key-16, ValueA = , ValueB = value-3585605700503172165, Score = 1
Key = key-16, ValueA = , ValueB = value-5402188604671566333, Score = 1
Key = key-364, ValueA = , ValueB = value-2245922986926507615, Score = 1
Key = key-16, ValueA = , ValueB = value-3280079156563285553, Score = 1
Key = key-364, ValueA = , ValueB = value-8010211079424805105, Score = 1
Key = key-364, ValueA = , ValueB = value-1000048392683316164, Score = 1
Key = key-364, ValueA = , ValueB = value-8594046805679382143, Score = 1
Key = key-364, ValueA = , ValueB = value-1855277069928362012, Score = 1
Key = key-364, ValueA = , ValueB = value-8899186859658471749, Score = 1
Key = key-364, ValueA = , ValueB = value-2234065984319923809, Score = 1
Key = key-364, ValueA = , ValueB = value-7163417298296874854, Score = 1
Key = key-364, Value = value-2245922986926507615, Score = 2
Key = key-15, Value = value-8548388600784062369, Score = 2
Key = key-361, Value = value-1341159212058252843, Score = 2
Key = key-10, ValueA = , ValueB = value-5689530599281757772, Score = 1
Key = key-10, ValueA = , ValueB = value-2653563118825212990, Score = 1
